x,y,z,time
7.642292,-3.725378,2.327164,6927883245697.000000
9.734824,-4.362236,2.403779,6927900573302.000000
12.296620,-4.922479,2.595315,6927921220489.000000
12.665327,-4.333505,3.040636,6927961651218.000000
15.581465,-4.505888,3.572149,6928001242937.000000
15.954960,-5.310339,3.059790,6928021040020.000000
13.972561,-5.607220,2.614468,6928041257364.000000
13.546393,-5.224148,2.753332,6928082795749.000000
11.291056,-3.045424,1.656788,6928180796010.000000
9.878476,-2.825158,1.130063,6928201536374.000000
8.422802,-2.782062,1.034295,6928261416843.000000
7.977480,-2.552219,0.694318,6928301093406.000000
7.656657,-2.245761,0.402226,6928341104447.000000
7.326257,-2.178724,0.454898,6928381252624.000000
7.082048,-2.006341,0.268151,6928402563718.000000
7.005434,-2.212242,0.407014,6928461301635.000000
8.073248,-2.331953,0.938527,6928482834864.000000
9.361329,-2.758120,1.197101,6928501273614.000000
11.286267,-3.126827,1.685518,6928541354499.000000
13.843274,-5.185841,2.504335,6928642596478.000000
11.382035,-5.104438,3.107674,6928662133614.000000
11.650186,-4.774038,4.065354,6928683043562.000000
13.766660,-4.027047,4.309563,6928722545541.000000
11.808203,-3.878607,3.404555,6928741664916.000000
8.403648,-3.620033,2.935291,6928781494239.000000
6.545747,-4.098873,2.442086,6928821951530.000000
6.502652,-4.534618,2.154782,6928842828405.000000
7.426814,-5.142745,2.193089,6928883191947.000000
8.667010,-5.061342,2.949656,6928941797207.000000
8.427590,-4.611232,3.605668,6928982132207.000000
12.799402,-4.362236,1.958457,6929101893978.000000
15.231912,-3.476381,2.370260,6929162538145.000000
14.460979,-4.735731,2.954445,6929202519343.000000
14.077906,-4.774038,2.671929,6929222095541.000000
13.086706,-4.228160,2.240973,6929243904134.000000
12.717999,-3.342306,2.106898,6929262930541.000000
12.751518,-2.633622,1.857901,6929284599499.000000
10.539276,-2.432509,1.522712,6929322693666.000000
9.035717,-2.470816,1.225831,6929362743561.000000
8.542512,-2.461239,1.173159,6929383098249.000000
8.145074,-2.528277,1.134852,6929403331009.000000
7.924808,-2.422932,0.775721,6929442889499.000000
7.905654,-2.413355,0.574608,6929463155072.000000
7.254431,-2.197877,0.766145,6929523891530.000000
6.809110,-2.322376,0.627281,6929562931895.000000
