x,time
1286.000000,4503958011291.000000
1384.000000,4504457995874.000000
1308.000000,4504806568790.000000
1117.000000,4505304186134.000000
1502.000000,4505560238373.000000
1531.000000,4506007244415.000000
1396.000000,4506405371758.000000
1721.000000,4506851467904.000000
962.000000,4507102737696.000000
112.000000,4507355298946.000000
105.000000,4507608386237.000000
112.000000,4507863917331.000000
105.000000,4508113513945.000000
256.000000,4508364607278.000000
319.000000,4508865848268.000000
524.000000,4509410635351.000000
592.000000,4509663545455.000000
690.000000,4509912238997.000000
611.000000,4510412530976.000000
524.000000,4510812417069.000000
552.000000,4511209610559.000000
676.000000,4511657361756.000000
594.000000,4512009982954.000000
569.000000,4512604747225.000000
325.000000,4512853285975.000000
35.000000,4513106689516.000000
37.000000,4513360661287.000000
44.000000,4513955749099.000000
33.000000,4514256232797.000000
52.000000,4515000812432.000000
25.000000,4515400373734.000000
28.000000,4515850789724.000000
42.000000,4516149631963.000000
25.000000,4516550695765.000000
36.000000,4517196246390.000000
19.000000,4517693672796.000000
34.000000,4518339441754.000000
34.000000,4518793966702.000000
24.000000,4521600950294.000000
24.000000,4521850719357.000000
21.000000,4522155437377.000000
24.000000,4522651404096.000000
21.000000,4522914531127.000000
22.000000,4523311047325.000000
27.000000,4523807136283.000000
25.000000,4524058223054.000000
26.000000,4524503804251.000000
24.000000,4526034273730.000000
21.000000,4526583191490.000000
20.000000,4526883842896.000000
20.000000,4527625959146.000000
17.000000,4528022541594.000000
16.000000,4528419443469.000000
20.000000,4528669891542.000000
13.000000,4529118540135.000000
18.000000,4529771977218.000000
14.000000,4530316750187.000000
15.000000,4530960257270.000000
14.000000,4531504560811.000000
12.000000,4532151223155.000000
11.000000,4532745399821.000000
9.000000,4533783852738.000000
10.000000,4534626101018.000000
10.000000,4534976602477.000000
9.000000,4536606714820.000000
7.000000,4537103493361.000000
8.000000,4537401254299.000000
8.000000,4539082410861.000000
6.000000,4540218240964.000000
5.000000,4540665116641.000000
5.000000,4541358097578.000000
4.000000,4541803662578.000000
6.000000,4542103344661.000000
5.000000,4542896348099.000000
5.000000,4544084339609.000000
4.000000,4544334147681.000000
3.000000,4544929149608.000000
2.000000,4545178689296.000000
2.000000,4545476285389.000000
2.000000,4546172522056.000000
2.000000,4546520902681.000000
2.000000,4547116439399.000000
2.000000,4547366790232.000000
2.000000,4547763302784.000000
2.000000,4548407121742.000000
2.000000,4548805489294.000000
2.000000,4549152866846.000000
2.000000,4549499967784.000000
2.000000,4549798816898.000000
2.000000,4550443240075.000000
2.000000,4550691798096.000000
2.000000,4551041229085.000000
2.000000,4551538305908.000000
2.000000,4551787183876.000000
2.000000,4552627650699.000000
2.000000,4552875980491.000000
2.000000,4553125654345.000000
2.000000,4553720421897.000000
2.000000,4553970319084.000000
2.000000,4554270928876.000000
2.000000,4554869220490.000000
2.000000,4555119137729.000000
2.000000,4555368508042.000000
2.000000,4555962234708.000000
2.000000,4556211389031.000000
2.000000,4556510715229.000000
2.000000,4557206052052.000000
2.000000,4557651852312.000000
2.000000,4558097725801.000000
2.000000,4558346154395.000000
2.000000,4558694514863.000000
2.000000,4559140011374.000000
2.000000,4559388496894.000000
2.000000,4559933054030.000000
2.000000,4560578227831.000000
2.000000,4560974550852.000000
2.000000,4561618087519.000000
2.000000,4562113661477.000000
2.000000,4562806524654.000000
2.000000,4563254200695.000000
2.000000,4563947576893.000000
2.000000,4564352921997.000000
2.000000,4565094435538.000000
2.000000,4565492835121.000000
2.000000,4566141034548.000000
2.000000,4566636084340.000000
2.000000,4567279545173.000000
2.000000,4567677668141.000000
2.000000,4568419263037.000000
2.000000,4568815921891.000000
2.000000,4569508796474.000000
2.000000,4569859030536.000000
2.000000,4570600800119.000000
2.000000,4570949040692.000000
2.000000,4571595001734.000000
2.000000,4572091353921.000000
2.000000,4572396974806.000000
2.000000,4572746761056.000000
2.000000,4573192332097.000000
2.000000,4573638577306.000000
2.000000,4573887853087.000000
2.000000,4574239079649.000000
2.000000,4574982822670.000000
2.000000,4575383009545.000000
2.000000,4576124842669.000000
2.000000,4576472508867.000000
2.000000,4577116152565.000000
2.000000,4577611257721.000000
2.000000,4578307732043.000000
2.000000,4578753780168.000000
2.000000,4579347394491.000000
2.000000,4579596674751.000000
2.000000,4579848423241.000000
2.000000,4580492705897.000000
2.000000,4580987596417.000000
2.000000,4581582075167.000000
2.000000,4581832645063.000000
2.000000,4582130470792.000000
2.000000,4582626466417.000000
2.000000,4582875974698.000000
2.000000,4583173915687.000000
2.000000,4583774460635.000000
2.000000,4584023587927.000000
2.000000,4584274407927.000000
2.000000,4584871428395.000000
2.000000,4585122190270.000000
2.000000,4585372115426.000000
2.000000,4586064389541.000000
2.000000,4586411787301.000000
2.000000,4586760753186.000000
2.000000,4587013065217.000000
2.000000,4587262786155.000000
2.000000,4587561794019.000000
2.000000,4588256619071.000000
2.000000,4588652992977.000000
2.000000,4589295928498.000000
2.000000,4589742089435.000000
2.000000,4590341255320.000000
2.000000,4590593285997.000000
2.000000,4590842847872.000000
2.000000,4591485692611.000000
2.000000,4591981577194.000000
2.000000,4592279385319.000000
2.000000,4592528634538.000000
2.000000,4593024315215.000000
2.000000,4593717091465.000000
2.000000,4594214041673.000000
2.000000,4594808966985.000000
2.000000,4595205567037.000000
2.000000,4595950310578.000000
2.000000,4596297592818.000000
2.000000,4596546872193.000000
2.000000,4597094470890.000000
2.000000,4597444126828.000000
2.000000,4598186937348.000000
2.000000,4598484720005.000000
2.000000,4599276519483.000000
2.000000,4599623409431.000000
2.000000,4600266501514.000000
2.000000,4600715475837.000000
2.000000,4601309639014.000000
2.000000,4601854983649.000000
2.000000,4602597507138.000000
2.000000,4602945370888.000000
2.000000,4603589185419.000000
2.000000,4604774901981.000000
2.000000,4605123740835.000000
2.000000,4605766706929.000000
2.000000,4606212379845.000000
2.000000,4606857033178.000000
2.000000,4607305873855.000000
2.000000,4607661806876.000000
2.000000,4607910529376.000000
2.000000,4608357009740.000000
2.000000,4609050322084.000000
2.000000,4609397490261.000000
2.000000,4609844295156.000000
2.000000,4610093795052.000000
2.000000,4610592698594.000000
2.000000,4611334007031.000000
2.000000,4611683163802.000000
2.000000,4612376709687.000000
2.000000,4612773493020.000000
2.000000,4613274273332.000000
2.000000,4613522883957.000000
2.000000,4613919171144.000000
2.000000,4614611750363.000000
2.000000,4615106633800.000000
2.000000,4615700075102.000000
2.000000,4616196372081.000000
2.000000,4616494985831.000000
2.000000,4616743376768.000000
2.000000,4616994403800.000000
2.000000,4617242936299.000000
2.000000,4617890038747.000000
2.000000,4618139088382.000000
2.000000,4618388219372.000000
2.000000,4618981855882.000000
