x,y,z,time
0.945190,-0.079651,-0.172046,4503993244936.000000
-0.378076,0.384448,-0.213464,4504192840353.000000
-0.237891,0.506580,0.288867,4504393327592.000000
-0.199658,0.165674,0.631897,4504593960665.000000
-0.397192,-0.193286,0.357898,4504793174207.000000
-0.242139,-0.065845,-0.092395,4504994565353.000000
0.106201,-0.104077,-0.250635,4505193726759.000000
-0.503394,0.141248,-0.973865,4505393764780.000000
0.099829,-0.101953,-0.326038,4505595019832.000000
-0.283557,0.444983,-0.693494,4505795390925.000000
-0.129565,0.092395,-0.557556,4505995227644.000000
0.618091,0.140186,-0.960059,4506194798321.000000
0.792261,-0.204968,-1.057764,4506395032540.000000
-0.220898,-0.077527,-0.486401,4506595101185.000000
-1.808606,-0.151868,-1.680103,4506796365196.000000
-0.782703,-0.625525,-2.647595,4506995872696.000000
-1.388049,-0.865540,-3.212585,4507196531446.000000
-1.408228,-0.478967,-2.538208,4507397922852.000000
-0.133813,0.455603,1.445398,4507596491550.000000
0.148682,-0.116821,0.323914,4507797569779.000000
0.226208,-0.466223,-1.040771,4507997815612.000000
0.212402,0.796509,0.948376,4508197193372.000000
-0.215588,0.772083,0.476843,4508398292903.000000
-0.006372,0.041418,-0.270813,4508598513945.000000
-0.370642,0.491711,0.754028,4508797872382.000000
0.847485,-0.327100,0.575610,4508999862174.000000
1.842590,-0.535254,0.678626,4509198911236.000000
1.482568,0.528882,1.339197,4509399403476.000000
0.591541,0.339844,0.718982,4509599372278.000000
-0.336658,1.004663,0.392944,4509799919778.000000
0.413123,0.636145,0.644641,4509999919465.000000
-0.480029,-0.672253,-0.361084,4510199959569.000000
-0.301611,-0.143372,-0.341968,4510400482799.000000
0.207092,0.284619,-1.001477,4510600213736.000000
-0.005310,-0.174170,-0.943066,4510801656080.000000
-1.079004,0.521448,-0.227271,4511000963007.000000
-0.082837,-0.240015,0.687122,4511201078632.000000
0.673315,-0.227271,0.182666,4511401279621.000000
0.385510,-0.230457,0.630835,4511602128996.000000
0.339844,0.466223,-0.518262,4511801730090.000000
0.475781,0.340906,0.084961,4512002473319.000000
-0.444983,0.234705,-0.047791,4512202108162.000000
0.003186,-0.249573,-0.157178,4512402376027.000000
-0.160364,-1.116174,-0.878284,4512602585871.000000
0.539502,-0.852795,-1.294592,4512803404048.000000
-2.576441,-1.169275,-3.276306,4513004888631.000000
-0.989795,0.524634,0.732788,4513204026027.000000
0.696680,-0.539502,-0.176294,4513403430818.000000
-0.988733,0.146558,-0.121069,4513605164464.000000
-0.260193,0.272937,-0.130627,4514004403318.000000
-1.358313,-0.847485,-1.909497,4514204273474.000000
-0.475781,0.174170,0.212402,4514408925922.000000
0.373828,0.110449,0.522510,4514604688682.000000
0.246387,0.167798,0.561804,4514805980349.000000
