x,time
90.000000,4504662803582.000000
90.000000,4505577942227.000000
86.000000,4506542024310.000000
83.000000,4507649874310.000000
89.000000,4508580176758.000000
96.000000,4509554034934.000000
97.000000,4510730973528.000000
96.000000,4511488104309.000000
94.000000,4512588605662.000000
96.000000,4513485256652.000000
97.000000,4514626260766.000000
98.000000,4515560644463.000000
99.000000,4516560211598.000000
100.000000,4517589400244.000000
101.000000,4518550974827.000000
104.000000,4521594686961.000000
98.000000,4522624713627.000000
91.000000,4523627965971.000000
84.000000,4524526071751.000000
80.000000,4525591741803.000000
81.000000,4526515258574.000000
81.000000,4527518938365.000000
86.000000,4528582169042.000000
89.000000,4529515412322.000000
90.000000,4530569407270.000000
93.000000,4531528893572.000000
96.000000,4532533092321.000000
98.000000,4533500864196.000000
100.000000,4534633438518.000000
100.000000,4535596393570.000000
100.000000,4536532171903.000000
99.000000,4537472009194.000000
99.000000,4539374722735.000000
100.000000,4540381217006.000000
99.000000,4541380471589.000000
99.000000,4542455127682.000000
99.000000,4543486778411.000000
100.000000,4544501716379.000000
100.000000,4545454332837.000000
99.000000,4546454426535.000000
99.000000,4547451870128.000000
100.000000,4548449619190.000000
100.000000,4549397970648.000000
101.000000,4550417249242.000000
102.000000,4551416800387.000000
102.000000,4552449178824.000000
102.000000,4553418134813.000000
102.000000,4554515986271.000000
102.000000,4555484565594.000000
102.000000,4556454969291.000000
102.000000,4557481880333.000000
101.000000,4558417931166.000000
101.000000,4559479889707.000000
101.000000,4560415492779.000000
102.000000,4561417702102.000000
101.000000,4562386222050.000000
102.000000,4563481670278.000000
100.000000,4564446626684.000000
100.000000,4565389804444.000000
100.000000,4566443609340.000000
99.000000,4567476703089.000000
99.000000,4568512021006.000000
100.000000,4569446962151.000000
100.000000,4570445992984.000000
99.000000,4571447641265.000000
99.000000,4572376317619.000000
98.000000,4573480423399.000000
99.000000,4574415215639.000000
98.000000,4575479939440.000000
98.000000,4576476707096.000000
97.000000,4577514308502.000000
98.000000,4578509875116.000000
97.000000,4579412435376.000000
98.000000,4580426729907.000000
98.000000,4581473717199.000000
98.000000,4582450197823.000000
98.000000,4583448417458.000000
98.000000,4584416297406.000000
98.000000,4585475648343.000000
98.000000,4586515917509.000000
98.000000,4587445585946.000000
98.000000,4588412572404.000000
98.000000,4589513363758.000000
98.000000,4591469910736.000000
98.000000,4592376447663.000000
98.000000,4593378716777.000000
97.000000,4594475266048.000000
97.000000,4595409587766.000000
96.000000,4596445375370.000000
96.000000,4597476416463.000000
95.000000,4598443035421.000000
97.000000,4599442482608.000000
99.000000,4600442503806.000000
100.000000,4601472023545.000000
100.000000,4602509081670.000000
100.000000,4603442811461.000000
101.000000,4604438190940.000000
101.000000,4605543942554.000000
98.000000,4606425519324.000000
98.000000,4607439172814.000000
99.000000,4608407022761.000000
99.000000,4609439582344.000000
99.000000,4610471191198.000000
99.000000,4611411130052.000000
99.000000,4612438920208.000000
99.000000,4613499170311.000000
99.000000,4614373821457.000000
100.000000,4615442349269.000000
101.000000,4616407784633.000000
101.000000,4617440984008.000000
101.000000,4618477151143.000000
102.000000,4620500956559.000000
102.000000,4621442099683.000000
102.000000,4622507239995.000000
102.000000,4623449584943.000000
102.000000,4624530849213.000000
103.000000,4625552317598.000000
103.000000,4626583408275.000000
103.000000,4627481166764.000000
103.000000,4628445451295.000000
103.000000,4629606749316.000000
103.000000,4630445851138.000000
103.000000,4631509098429.000000
103.000000,4632509790981.000000
103.000000,4633510215147.000000
103.000000,4634475914001.000000
103.000000,4635471982699.000000
104.000000,4636544590407.000000
103.000000,4637542733375.000000
103.000000,4638509399833.000000
103.000000,4639511791291.000000
103.000000,4640492737801.000000
102.000000,4641409367332.000000
102.000000,4642639443738.000000
102.000000,4643446153789.000000
102.000000,4644475062070.000000
102.000000,4645409603216.000000
102.000000,4646608931444.000000
101.000000,4647409172590.000000
99.000000,4648524389413.000000
98.000000,4649438999777.000000
98.000000,4650407022693.000000
98.000000,4651507702276.000000
98.000000,4652475568265.000000
98.000000,4653539594306.000000
98.000000,4654445198942.000000
99.000000,4655474166129.000000
99.000000,4656509373472.000000
99.000000,4657467500607.000000
98.000000,4658536322013.000000
98.000000,4659442366023.000000
99.000000,4667500883051.000000
99.000000,4668502594613.000000
98.000000,4669439876696.000000
99.000000,4670405587425.000000
99.000000,4671474715393.000000
99.000000,4672468463153.000000
98.000000,4673507205445.000000
98.000000,4674439137423.000000
